"","fips","Hillary Clinton","Donald Trump","Jill Stein","Gary Johnson","Third","diff"
"480","18065",5124,13895,NA,1056,NA,-8771
"481","18067",11215,23675,NA,1864,NA,-12460
"482","18069",3506,11649,NA,819,NA,-8143
"483","18071",3843,12857,NA,832,NA,-9014
"484","18073",3329,9382,NA,620,NA,-6053
"485","18075",1889,5697,NA,376,NA,-3808
"486","18077",4325,8538,NA,598,NA,-4213
"487","18079",2364,8222,NA,529,NA,-5858
"488","18081",17318,45456,NA,3455,NA,-28138
"489","18083",3772,11077,NA,634,NA,-7305
"490","18085",6311,23909,NA,1687,NA,-17598
"491","18087",2080,7025,NA,447,NA,-4945
"492","18089",116896,75565,NA,7786,NA,41331
"493","18091",19795,22678,NA,2521,NA,-2883
"494","18093",4210,14034,NA,832,NA,-9824
"495","18095",18595,32376,NA,2689,NA,-13781
"496","18097",212676,130228,NA,18166,NA,82448
"497","18099",4798,12286,NA,924,NA,-7488
"498","18101",881,3695,NA,231,NA,-2814
"499","18103",2766,9975,NA,699,NA,-7209
"500","18105",34183,20527,NA,2913,NA,13656
"501","18107",3362,11051,NA,688,NA,-7689
"502","18109",6037,23671,NA,1472,NA,-17634
"503","18111",1403,4074,NA,314,NA,-2671
"504","18113",3904,12198,NA,788,NA,-8294
"505","18115",686,2118,NA,113,NA,-1432
"506","18117",2048,5800,NA,341,NA,-3752
"507","18119",1946,6151,NA,423,NA,-4205
"508","18121",1441,4863,NA,272,NA,-3422
"509","18123",3062,4556,NA,407,NA,-1494
"510","18125",1297,4398,NA,282,NA,-3101
"511","18127",33531,38719,NA,4242,NA,-5188
"512","18129",3515,8393,NA,540,NA,-4878
"513","18131",1327,3854,NA,256,NA,-2527
"514","18133",3356,10637,NA,687,NA,-7281
"515","18135",2446,7515,NA,495,NA,-5069
"516","18137",2471,9806,NA,513,NA,-7335
"517","18139",1525,5292,NA,397,NA,-3767
"518","18141",52247,52019,NA,5186,NA,228
"519","18143",2642,6074,NA,344,NA,-3432
"520","18145",4247,12718,NA,970,NA,-8471
"521","18147",2861,6572,NA,526,NA,-3711
"522","18149",2489,6367,NA,370,NA,-3878
"523","18151",3741,10127,NA,662,NA,-6386
"524","18153",2113,6138,NA,308,NA,-4025
"525","18155",930,2558,NA,151,NA,-1628
"526","18157",27207,30711,NA,3998,NA,-3504
"527","18159",1587,5589,NA,334,NA,-4002
"528","18161",715,2445,NA,126,NA,-1730
"529","18163",28296,40422,NA,3239,NA,-12126
"530","18165",2081,4511,NA,321,NA,-2430
"531","18167",15922,21924,NA,1723,NA,-6002
"532","18169",3018,9819,NA,578,NA,-6801
"533","18171",839,2896,NA,184,NA,-2057
"534","18173",9086,19133,NA,1390,NA,-10047
"535","18175",2636,8206,NA,491,NA,-5570
"536","18177",8322,16028,NA,1225,NA,-7706
"537","18179",2585,9999,NA,539,NA,-7414
"538","18181",2563,6813,NA,526,NA,-4250
"539","18183",3379,11357,NA,799,NA,-7978
"540","19001",1127,2456,13,125,138,-1329
"541","19003",565,1393,9,93,102,-828
"542","19005",2409,4072,46,224,270,-1663
"543","19007",1813,4031,42,139,181,-2218
"544","19009",1079,2135,24,106,130,-1056
"545","19011",4672,8226,86,540,626,-3554
"546","19013",32006,27382,601,2357,2958,4624
"547","19015",5517,7458,104,643,747,-1941
"548","19017",5349,7199,81,543,624,-1850
"549","19019",3966,5504,54,478,532,-1538
"550","19021",2851,4895,47,287,334,-2044
"551","19023",2163,4918,43,217,260,-2755
"552","19025",1396,3466,18,172,190,-2070
"553","19027",3305,6627,58,317,375,-3322
"554","19029",1946,4755,52,206,258,-2809
"555","19031",3578,5275,70,362,432,-1697
"556","19033",9840,11583,128,843,971,-1743
"557","19035",1676,4188,29,206,235,-2512
"558","19037",2264,3739,48,236,284,-1475
"559","19039",1463,2706,18,159,177,-1243
"560","19041",2246,5870,35,286,321,-3624
"561","19043",3236,5309,50,384,434,-2073
"562","19045",10079,11249,183,819,1002,-1170
"563","19047",1985,4608,33,172,205,-2623
"564","19049",15662,19288,181,1749,1930,-3626
"565","19051",976,2721,25,85,110,-1745
"566","19053",1201,2296,29,123,152,-1095
"567","19055",2956,5688,40,337,377,-2732
"568","19057",8178,9479,132,633,765,-1301
"569","19059",3051,6743,54,291,345,-3692
"570","19061",22774,23384,87,374,461,-610
"571","19063",1356,3121,26,138,164,-1765
"572","19065",3666,5591,62,326,388,-1925
"573","19067",3177,4371,60,241,301,-1194
"574","19069",1490,3153,31,187,218,-1663
"575","19071",959,2401,21,115,136,-1442
"576","19073",1688,2819,31,160,191,-1131
"577","19075",1847,4516,38,233,271,-2669
"578","19077",1720,3603,18,256,274,-1883
"579","19079",2715,4450,31,259,290,-1735
"580","19081",1582,3972,22,165,187,-2390
"581","19083",2774,5231,28,294,322,-2457
"582","19085",2123,4892,50,209,259,-2769
"583","19087",2897,5764,113,336,449,-2867
"584","19089",1674,2611,38,130,168,-937
"585","19091",1251,3564,20,127,147,-2313
"586","19093",792,2655,9,103,112,-1863
"587","19095",3070,5193,61,315,376,-2123
"588","19097",3837,5821,85,318,403,-1984
"589","19099",7108,10556,95,715,810,-3448
"590","19101",3702,3738,255,246,501,-36
"591","19103",49942,20993,874,2743,3617,28949
"592","19105",3779,5718,62,305,367,-1939
"593","19107",1265,3385,28,139,167,-2120
"594","19109",2529,5637,33,193,226,-3108
"595","19111",6195,8762,145,502,647,-2567
"596","19113",58481,48183,994,5510,6504,10298
"597","19115",1643,3060,28,134,162,-1417
"598","19117",1236,2873,28,115,143,-1637
